Data;Open;High;Low;Close;Candle
18/05/2022 17:50;106930;106995;106855;106965;107
18/05/2022 17:45;106940;106960;106830;106935;106
18/05/2022 17:40;107010;107020;106930;106940;105
18/05/2022 17:35;107005;107040;106985;107005;104
18/05/2022 17:30;106990;107035;106955;107005;103
18/05/2022 17:25;106935;107000;106930;106985;102
18/05/2022 17:20;107040;107070;106865;106930;101
18/05/2022 17:15;106990;107065;106960;107040;100
18/05/2022 17:10;106940;107055;106930;106985;99
18/05/2022 17:05;106945;107035;106920;106935;98
18/05/2022 17:00;107070;107090;106935;106945;97
18/05/2022 16:55;106835;107090;106775;107070;96
18/05/2022 16:50;106900;107025;106820;106840;95
18/05/2022 16:45;106965;107000;106845;106900;94
18/05/2022 16:40;107225;107265;106965;106965;93
18/05/2022 16:35;107030;107280;106990;107230;92
18/05/2022 16:30;107025;107085;106990;107030;91
18/05/2022 16:25;106990;107070;106940;107025;90
18/05/2022 16:20;107060;107135;106950;106990;89
18/05/2022 16:15;107030;107125;107020;107060;88
18/05/2022 16:10;106970;107040;106915;107030;87
18/05/2022 16:05;106895;107065;106890;106970;86
18/05/2022 16:00;106850;106920;106825;106890;85
18/05/2022 15:55;106945;107010;106830;106855;84
18/05/2022 15:50;107005;107035;106895;106945;83
18/05/2022 15:45;106975;107045;106820;107010;82
18/05/2022 15:40;107100;107125;106955;106975;81
18/05/2022 15:35;107180;107185;107055;107105;80
18/05/2022 15:30;107355;107380;107170;107180;79
18/05/2022 15:25;107315;107385;107310;107350;78
18/05/2022 15:20;107210;107350;107200;107310;77
18/05/2022 15:15;107115;107240;107060;107205;76
18/05/2022 15:10;107155;107240;107070;107115;75
18/05/2022 15:05;107115;107170;107010;107160;74
18/05/2022 15:00;107105;107175;107045;107115;73
18/05/2022 14:55;107120;107130;106975;107110;72
18/05/2022 14:50;107085;107135;106985;107125;71
18/05/2022 14:45;107150;107210;107055;107085;70
18/05/2022 14:40;107295;107295;107095;107145;69
18/05/2022 14:35;107260;107305;107160;107295;68
18/05/2022 14:30;107240;107330;107180;107260;67
18/05/2022 14:25;107245;107320;107175;107245;66
18/05/2022 14:20;107190;107360;107185;107245;65
18/05/2022 14:15;107565;107575;107160;107190;64
18/05/2022 14:10;107680;107710;107525;107570;63
18/05/2022 14:05;107905;107910;107670;107685;62
18/05/2022 14:00;108060;108075;107870;107905;61
18/05/2022 13:55;108045;108085;107985;108065;60
18/05/2022 13:50;108050;108060;107985;108045;59
18/05/2022 13:45;107945;108060;107915;108055;58
18/05/2022 13:40;107925;107980;107870;107950;57
18/05/2022 13:35;107980;108035;107905;107930;56
18/05/2022 13:30;107925;107980;107760;107980;55
18/05/2022 13:25;107925;107995;107815;107925;54
18/05/2022 13:20;108075;108095;107885;107920;53
18/05/2022 13:15;108090;108140;108050;108075;52
18/05/2022 13:10;107960;108100;107915;108090;51
18/05/2022 13:05;108050;108055;107905;107955;50
18/05/2022 13:00;108020;108075;107940;108050;49
18/05/2022 12:55;108000;108095;107970;108025;48
18/05/2022 12:50;108160;108215;108000;108000;47
18/05/2022 12:45;108185;108225;108065;108160;46
18/05/2022 12:40;108260;108310;108110;108180;45
18/05/2022 12:35;108220;108325;108185;108260;44
18/05/2022 12:30;108275;108300;108160;108220;43
18/05/2022 12:25;108310;108390;108230;108270;42
18/05/2022 12:20;108365;108375;108230;108305;41
18/05/2022 12:15;108455;108490;108350;108370;40
18/05/2022 12:10;108515;108515;108300;108450;39
18/05/2022 12:05;108465;108545;108405;108515;38
18/05/2022 12:00;108540;108550;108435;108465;37
18/05/2022 11:55;108490;108590;108425;108540;36
18/05/2022 11:50;108605;108615;108475;108485;35
18/05/2022 11:45;108470;108635;108435;108610;34
18/05/2022 11:40;108395;108520;108380;108465;33
18/05/2022 11:35;108485;108495;108360;108395;32
18/05/2022 11:30;108485;108580;108450;108485;31
18/05/2022 11:25;108630;108655;108475;108480;30
18/05/2022 11:20;108740;108790;108580;108630;29
18/05/2022 11:15;108845;108870;108690;108735;28
18/05/2022 11:10;108730;108860;108690;108850;27
18/05/2022 11:05;108900;108990;108655;108735;26
18/05/2022 11:00;108790;108935;108750;108900;25
18/05/2022 10:55;108775;108795;108630;108790;24
18/05/2022 10:50;108585;108805;108575;108775;23
18/05/2022 10:45;108700;108830;108565;108585;22
18/05/2022 10:40;108720;108730;108585;108700;21
18/05/2022 10:35;108680;108835;108615;108715;20
18/05/2022 10:30;108710;108780;108560;108685;19
18/05/2022 10:25;108825;108845;108685;108710;18
18/05/2022 10:20;109030;109035;108815;108825;17
18/05/2022 10:15;109125;109175;109005;109035;16
